id,Chemical Name,LogP (Partition coefficient),LogS (water solubility of the ingredient),Molecular weight,Density,Chemical formula,Structure,Synonyms,Functionalities
1441,ISOPROPYL PALMITATE,,Not miscible or difficult to mix with water.,298.5,0.852 g/mL at 25 °C (lit.),C19H38O2,CCCCCCCCCCCCCCCC(=O)OC(C)C,"['IPP', 'kesscoipp', 'Lexol IPP', 'nikkolipp', 'plymouthipp', 'Liponate IPP', 'Plymouth ipp', 'Isopropyl palmitate', 'Palmitic acid esters', 'kesscoisopropylpalmitate', 'propan-2-yl hexadecanoate', 'Palmitic acid isopropyl ester', 'Hexadecanoic acid isopropyl ester']","Skin Conditioning Agent,Viscosity Controlling Agent,antistatic / binding / emollient / solvent / skin conditioning,Emollient,Skin conditioner,fragrance component,binder,fragrance ingredient,skin-conditioning agent - emollient,antistatic,binding,emollient,perfuming,skin conditioning,solvent,masking,flavouring"
1442,ISOPROPYL RICINOLEATE,,,,,,,,
1443,ISOPROPYL SORBATE,,3.70e-2,154.209,0.919,C9H14O2,C\C=C\C=C\C(=O)OC(C)C,ISOPROPYL SORBATE,
1444,ISOPROPYL STEARATE,,1.38e-5,326.56,0.8610,C21H42O2,CCCCCCCCCCCCCCCCCC(=O)OC(C)C,"['BRN 1791443', 'Wickenol 127', 'UNII-43253ZW1MZ', 'ISOPROPYL STEARATE', 'Isopropyl stearate', 'isopropyl stearate', 'lsopropyl octadecanoate', 'propan-2-yl octadecanoate', '1-methylethyloctadecanoate', '1-Methylethyl octadecanoate', 'STEARIC ACID ISOPROPYL ESTER', 'Stearic acid, isopropyl ester', 'Octadecanoic acid, isopropyl ester', 'Octadecanoicacid,1-methylethylester', 'Octadecanoic acid, 1-methylethyl ester', '4-02-00-01219 (Beilstein Handbook Reference)']","binder,skin-conditioning agent - emollient,binding,emollient,skin conditioning"
1445,ISOPROPYL THIOGLYCOLATE,,0.103,134.2,1.040Â±0.06 g/cm3(Predicted),C5H10O2S,CC(C)OC(=O)CS,"['Einecs 230-956-6', 'ISOPROPYL THIOGLYCOLATE', 'isopropyl mercaptoacetate', 'propan-2-yl 2-sulfanylacetate', 'Mercaptoacetic acid isopropyl ester', '6-bromo-5-fluoro-1,3-dihydroindol-7-one', 'Acetic acid, 2-mercapto-, 1-methylethyl ester']",hair waving or straightening
1446,ISOPROPYL TITANIUM TRIISOSTEARATE,,,3481.76,"0,95 g/cm3",C228H436O16Ti,,"['TITANIUMCOMPOUND', 'SERICITE ( MICA)', 'Isopropyl-triisostearyl titanate', 'ISOPROPYL TITANIUM TRIISOSTEARATE', 'Titanium triisostearoylisopropoxide', 'tris(isooctadecanoato-O)(2-propanolato)-Titanium', 'tris(isooctadecanoato-O)(propan-2-olato)titanium', 'Titanium, tris(isooctadecanoato-O)(2-propanolato)-', 'Titanium, tris(isooctadecanoato-.kappa.O)(2-propanolato)-']",
1447,ISOPROPYLAMINE,0391,soluble,59.11,0.688 g/mL at 20 °C (lit.),C3H9N,CC(C)N,"['MIPA', 'MIPA\n', 'nsc62775', 'iso-C3H7NH2', 'Isopropylamin', 'Isopropylamine', 'Isopropilamina', '2-Aminopropane', 'PropyldamineatomD', 'monoisopropylamine', 'iso-Propylamine gas', 'iso-Propyl-d7-amine', 'isopropylamine(2-aminopropane)', 'isopropylamine(non-specificname)', 'isopropylaminemethylnaphthalenesulfonate']","buffering,flavouring"
1448,ISOPROPYLBENZYL SALICYLATE,,7.20e-5,270.328,1.16,C17H18O3,CC(C)C1=CC=C(COC(=O)C2=CC=CC=C2O)C=C1,"isopropylbenzyl salicylate,ISOPROPYLBENZYL SALICYLATE","uv absorber,ultraviolet light absorber"
1449,ISOPROPYLPARABEN,,1.204g/L,180.2,1.132Â±0.06 g/cm3(Predicted),C10H12O3,CC(C)OC(=O)C1=CC=C(O)C=C1,"['Isopropylparaben', 'Isopropyl paraben', 'ISOPROPYLHYDROXYBENZOATE', 'Isopropyl p-hydroxybenzoate', 'ISOPROPYL 4-HYDROXYBENZOATE', 'Isopropyl 4-hydroxybenzoate', 'propan-2-yl 4-hydroxybenzoate', '1-methylethyl4-hydroxybenzoate', 'p-Oxybenzoesaureisopropylester', 'p-hydroxy-benzoicaciisopropylester', '4-Hydroxybenzoic acid isopropylester', '4-Hydroxybenzoic acid isopropyl ester', '4-hydroxy-benzoicaci1-methylethylester', 'Benzoic acid, p-hydroxy-, isopropyl ester', 'BENZOIC ACID, 4-HYDROXY-, 1-METHYLETHYL ESTER']",preservative
1450,ISOPROPYLPHENYLBUTANAL,,,190.28,,C13H18O,,['ISOPROPYLPHENYLBUTANAL'],
1451,ISOQUERCITRIN,,9.23e-3,464.38,1.87Â±0.1 g/cm3(Predicted),C21H20O12,OC[C@H]1OC(OC2=C(OC3=C(C(O)=CC(O)=C3)C2=O)C2=CC(O)=C(O)C=C2)[C@H](O)[C@@H](O)[C@@H]1O,"['Isoquercetin', 'ISOQUERCITRIN', 'isoquercitrin', 'Isoquercitroside', 'QUERCETIN-3-GLUCOSIDE', 'QUERCETIN-3-O-GLUCOSIDE', 'QUERCETIN-3-BETA-D-GLUCOSIDE', 'QUERCETIN 3-O-GLUCOPYRANOSIDE', 'QUERCETIN-3-O-B-GLUCOPYRANOSIDE', 'QUERCETIN-3-O-B-D-GLUCOFURANOSIDE', 'QUERCETIN-3-O-BETA-GLUCOPYRANOSIDE', 'QUERCETIN-3-O-BETA-D-GLUCOPYRANOSIDE', '2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-4-oxo-4H-chromen-3-yl beta-D-glucopyranoside', '2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4-oxo-4H-chromen-3-yl beta-D-glucofuranoside', '2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4-oxo-4H-chromen-3-yl beta-D-galactopyranoside', '2-(3,4-dihydroxyphenyl)-3-(Î²-D-glucofuranosyloxy)-5,7-dihydroxy-4H-1-benzopyran-4-one', '4H-1-benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-3-(beta-D-glucopyranosyloxy)-5,7-dihydroxy-']",antioxidant
1452,ISOSORBIDE LAURATE,,,,,,,,
1453,ISOSTEARAMIDE DEA,,,,,,,,
1454,ISOSTEARAMIDOPROPYL BETAINE,,Not found,426.686,Not found,C25H50N2O3,CC(C)CCCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC([O-])=O,isostearamidopropyl betaine,"antistatic,cleansing,foam boosting,hair conditioning,skin conditioning,surfactant"
1455,ISOSTEARAMIDOPROPYL DIMETHYLAMINE,,,,,,,,
1456,ISOSTEARAMIDOPROPYL DIMETHYLAMINE GLUCONATE,,,564.7953,,C29H60N2O8,,['ISOSTEARAMIDOPROPYL DIMETHYLAMINE GLUCONATE'],
1457,ISOSTEARAMIDOPROPYL DIMETHYLAMINE GLYCOLATE,,,444.69138,,C25H52N2O4,,['ISOSTEARAMIDOPROPYL DIMETHYLAMINE GLYCOLATE'],
1458,ISOSTEARAMIDOPROPYL DIMETHYLAMINE LACTATE,,,,,,,,
1459,ISOSTEARAMIDOPROPYL EPOXYPROPYL DIMONIUM CHLORIDE,,,,,,,,
1460,ISOSTEARAMIDOPROPYL EPOXYPROPYLMORPHOLINIUM CHLORIDE,,Not found,503.21,Not found,C28H55ClN2O3,[Cl-].CC(C)CCCCCCCCCCCCCCC(=O)NCCC[N+]1(CC2CO2)CCOCC1,isostearamidopropyl epoxypropylmorpholinium chloride,hair conditioning
1461,ISOSTEARAMIDOPROPYL ETHYLDIMONIUM ETHOSULFATE,,3.50,522.83,Not found,C27H58N2O5S,CCOS([O-])(=O)=O.CC[N+](C)(C)CCCNC(=O)CCCCCCCCCCCCCCC(C)C,"isostearamidopropyl ethyldimonium ethosulfate,ISOSTEARAMIDOPROPYL ETHYLDIMONIUM ETHOSULFATE","antistatic agent,hair conditioning agent,antistatic,hair conditioning"
1462,ISOSTEARAMIDOPROPYL ETHYLMORPHOLINIUM ETHOSULFATE,,,,,,,,
1463,ISOSTEARAMIDOPROPYL LAURYLACETODIMONIUM CHLORIDE,,Not found,631.47,Not found,C37H75ClN2O3,[Cl-].CCCCCCCCCCCCOC(=O)C[N+](C)(C)CCCNC(=O)CCCCCCCCCCCCCCC(C)C,,
1464,ISOSTEARAMIDOPROPYL MORPHOLINE,,,,,,,,
1465,ISOSTEARAMIDOPROPYL MORPHOLINE LACTATE,,,500.75464,,C28H56N2O5,,['ISOSTEARAMIDOPROPYL MORPHOLINE LACTATE'],
1466,ISOSTEARAMIDOPROPYL MORPHOLINE OXIDE,,Not found,424.66022,Not found,C25H48N2O3,CC(C)CCCCCCCCCCCCCCC(=O)NCCC[N+]1([O-])CCOCC1,['ISOSTEARAMIDOPROPYL MORPHOLINE OXIDE'],"cleansing,foam boosting,hair conditioning,hydrotrope,surfactant"
1467,ISOSTEARAMIDOPROPYL PG-DIMONIUM CHLORIDE,,,,,,,,
1468,ISOSTEARAMIDOPROPYLAMINE OXIDE,,,354.57038,,C21H42N2O2,,['ISOSTEARAMIDOPROPYLAMINE OXIDE'],
1469,ISOSTEARAMINOPROPALKONIUM CHLORIDE,,,,,,,,
1470,ISOSTEARETH-2,,Not found, ,Not found, , ,"poly(oxy-1_2-ethanediyl)-alpha-isooctadecyl-omega-hydroxy-,isosteareth-10,poe (2)  isostearyl alcohol,alpha-isooctadecyl-omega-hydroxypoly(oxyethylene),isosteareth 20,isosteareth 10,isosteareth-50,isosteareth-5,isosteareth-3,isosteareth-25,isosteareth-22,isosteareth-20,isosteareth-2,isosteareth-15,isosteareth-12","emulsifying,surfactant"
1471,ISOSTEARETH-3,,,,,,,,
1472,ISOSTEARETH-10,,Not found, ,Not found, , ,"poly(oxy-1_2-ethanediyl)-alpha-isooctadecyl-omega-hydroxy-,isosteareth-10,poe (2)  isostearyl alcohol,alpha-isooctadecyl-omega-hydroxypoly(oxyethylene),isosteareth 20,isosteareth 10,isosteareth-50,isosteareth-5,isosteareth-3,isosteareth-25,isosteareth-22,isosteareth-20,isosteareth-2,isosteareth-15,isosteareth-12","emulsifying,surfactant"
1473,ISOSTEARETH-12,,Not found, ,Not found, , ,"poly(oxy-1_2-ethanediyl)-alpha-isooctadecyl-omega-hydroxy-,isosteareth-10,poe (2)  isostearyl alcohol,alpha-isooctadecyl-omega-hydroxypoly(oxyethylene),isosteareth 20,isosteareth 10,isosteareth-50,isosteareth-5,isosteareth-3,isosteareth-25,isosteareth-22,isosteareth-20,isosteareth-2,isosteareth-15,isosteareth-12","emulsifying,surfactant"
1474,ISOSTEARETH-20,,Not found, ,Not found, , ,"poly(oxy-1_2-ethanediyl)-alpha-isooctadecyl-omega-hydroxy-,isosteareth-10,poe (2)  isostearyl alcohol,alpha-isooctadecyl-omega-hydroxypoly(oxyethylene),isosteareth 20,isosteareth 10,isosteareth-50,isosteareth-5,isosteareth-3,isosteareth-25,isosteareth-22,isosteareth-20,isosteareth-2,isosteareth-15,isosteareth-12","emulsifying,surfactant"
1475,ISOSTEARETH-22,,,,,,,,
1476,ISOSTEARETH-50,,,,,,,,
1477,ISOSTEARIC ACID,,1.63e-6,284.48,0.89g/mLat 25°C(lit.),C18H36O2,CC(C)CCCCCCCCCCCCCCC(O)=O,"['isostearic', 'isostearic acid', 'ISOSTEARIC ACID', 'ISOOCTADECANOIC ACID', 'Isooctadecanoic acid', '16-methyl-heptadecanoicaci', '16-methylheptadecanoic acid', '16-METHYLHEPTADECANOIC ACID', 'ISOSTEARIC ACID MIXED ISOMERS', 'Heptadedecanoicacid,16-Methyl', 'Heptadecanoic acid, 16-methyl-']",
1478,ISOSTEAROYL HYDROLYZED COLLAGEN,,,267.4699,,C18H35O*,,"['ISOSTEAROYL HYDROLYZED COLLAGEN', 'Protein hydrolyzates, leather, reaction products with isostearoyl chloride']",
1479,ISOSTEAROYL PG-TRIMONIUM CHLORIDE,,,,,,,,
1480,ISOSTEARYL ALCOHOL,,Not found,270.49,0.836g/cm3,C18H38O, ,"['JARCOL I-18T', 'JARCOL 1-18T', 'JARCOL 1-18CG', 'OCTYL DECANOL', 'JARCOL I-18EX', 'ISOOCTADECANOL', 'Isooctadecanol', 'ISOSTEARYL ALCOHOL', 'Isostearyl Alcohol', 'ISOOCTADECYL ALCOHOL', '16-methylheptadecan-1-ol']","Other stabilisers,fragrance component,skin-conditioning agent - emollient,viscosity increasing agent - nonaqueous,emollient,skin conditioning,viscosity controlling"
1481,ISOSTEARYL BEHENATE,,1.22e-10,593.062,0.809,C40H80O2,CCCCCCCCCCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCCC(C)C,"['ISOSTEARYL BEHENATE', 'Docosanoic acid, isooctadecyl ester']","skin-conditioning agent - occlusive,emollient,skin conditioning"
1482,ISOSTEARYL BENZOATE,,3.50,374.609,0.917,C25H42O2,CC(C)CCCCCCCCCCCCCCCOC(=O)C1=CC=CC=C1,"ISOSTEARYL BENZOATE,isostearyl benzoate","skin-conditioning agent - emollient,emollient,hair conditioning,skin conditioning"
1483,ISOSTEARYL BENZYLIMIDONIUM CHLORIDE,,,,,,,,
1484,ISOSTEARYL DIGLYCERYL SUCCINATE,,,,,,,,
1485,ISOSTEARYL ETHYLDIMONIUM CHLORIDE,,,,,,,,
1486,ISOSTEARYL ETHYLHEXANOATE,,,,,,,,
1487,ISOSTEARYL GLYCERYL PENTAERYTHRITYL ETHER,,,408.65752,,C26H48O3,,"['ISOSTEARYL GLYCERYL PENTAERYTHRITYL ETHER', '2-(hydroxymethyl)-2-[[2-hydroxy-3-(isooctadecyloxy)propoxy]methyl]-1,3-propanediol', '1,3-Propanediol, 2-(hydroxymethyl)-2-[[2-hydroxy-3-(isooctadecyloxy)propoxy]methyl]']",
1488,ISOSTEARYL HYDROXYETHYL IMIDAZOLINE,,,,,,,,
1489,ISOSTEARYL ISONONANOATE,,3.50,410.71646,0.858,C27H54O2,CC(C)CCCCCCCCCCCCCCCOC(=O)CCCCCC(C)C,['ISOSTEARYL ISONONANOATE'],"emollient,hair conditioning"
1490,ISOSTEARYL ISOSTEARATE,,2.10e-9,536.97,0.800,C36H72O2,CC(C)CCCCCCCCCCCCCCCOC(=O)CCCCCCCCCCCCCCC(C)C,"isostearyl isostearate,ISOSTEARYL ISOSTEARATE","binder,skin-conditioning agent - emollient,binding,emollient,skin conditioning"
1491,ISOSTEARYL LACTATE,,Not found, ,Not found, , ,,
1492,ISOSTEARYL LAURATE,,Not found,452.808,Not found,C30H60O2,CCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCCC(C)C,isostearyl laurate,"emollient,skin conditioning"
1493,ISOSTEARYL LAURDIMONIUM CHLORIDE,,Not found,502.35,Not found,C32H68ClN,[Cl-].CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC(C)C,isostearyl laurdimonium chloride,antistatic
1494,ISOSTEARYL MYRISTATE,,3.50,480.862,0.858,C32H64O2,CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCCC(C)C,"ISOSTEARYL MYRISTATE,isostearyl myristate","binding,emollient,skin conditioning"
1495,ISOSTEARYL NEOPENTANOATE,,Not found, ,Not found, , ,"propanoic acid, 2,2-dimethyl-, isooctadecyl ester,isostearyl neopentanoate,ISOSTEARYL NEOPENTANOATE","binder,skin-conditioning agent - emollient,binding,emollient,skin conditioning"
1496,ISOSTEARYL PALMITATE,,1.21e-8,508.916,0.809,C34H68O2,CCCCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCCC(C)C,"ISOSTEARYL PALMITATE,Isooctadecyl palmitate,isostearyl palmitate","binder,skin-conditioning agent - emollient,binding,emollient,skin conditioning"
1497,ISOSTEARYL STEAROYL STEARATE,,,803.41764,,C54H106O3,,"['ISOSTEARYL STEAROYL STEARATE', 'octadecanoyl 2-hexadecyl-18-methylnonadecanoate']",
1498,ISOTRIDECYL ISONONANOATE,,Not found, ,Not found, , ,,
1499,ISOTRIDECYL MYRISTATE,,,,,,,,
1500,KAOLIN,,"insoluble H2O, dilute acids and alkali hydroxides [HAW93]",258.16,"2,6 g/cm3",H2Al2O8Si2.H2O, ,"['Buca', 'kaolin', 'Argilla', 'Catalpo', 'Anhydrol', 'PAR CLAY', 'Bilt-cote', 'Bolus alba', 'China clay', 'Bilt-plates', 'Porcelain clay', 'Chinaclaypowder', 'Calcined Kaolin', 'Aluminum silicate dihydrate', 'Aluminum silicate hydroxide', 'Aluminum silicate (hydrated)']","Opacifier,Absorbent,Skin Conditioning Agent,Bulking Agent,insecticide,Filler,filler,Drywall joint finishing and repairs,paint additive,core/paint additive,core,reinforcing pigment,flattener,flattenre,extender pigments,white 369: pigment,extender pigment,binder,component of coating material.,nk grey paint: clay mineral,thixotrope,unknown,clay mineral,chemical used in pre-fired ceramic body.,clay,filler/film strengthener,pigment,silicate,wear layer and extender,absorbent / anticaking / abrasive / bulking / opacifying,Polishing agent,Bulking agent/thickener/absorbent,packaging,absorbent,antiseborrhoeic,cosmetic colorant,viscosity controlling,abrasive,anticaking agent,bulking agent,opacifying agent,skin protectant,slip modifier,anticaking,bulking,opacifying,polishing agent,film strengthener,binding ingredient,core of the panel,coating,plasticizer,extender,white primer component #4,mineral filler,kaolin clay,resin,pozzolan,crack resistance,improved workability,reduced chalking,improves crack resistance, workability,reduces chalking,strengthener,extender filler,basemat,paint filler"
1501,KETOGLUTARIC ACID,,,,,,,,
1502,KINETIN,,"Soluble in water (<1 mg/ml) at 25°C, Acetic acid (49.00-51.00 mg/ml), DMSO (43 mg/ml) at 25°C, ethanol (<1 mg/ml) at 25°C, 0.1 N Sodium hydroxide (1% w/v), methanol (slightly), and dilute aqueous hydr",215.21,1.2639 (rough estimate),C10H9N5O,Structure,"['FAP', '6-kt', 'Kinetin', 'KINETIN', 'KINETINE', 'AURORA 2450', 'Furfuryladenine', 'FURFURYLADENINE', '6-furfuryladenine', 'N6-Furfuryladenine', 'Adenine, N-furfuryl-', '6-FURFURYLAMINOPURINE', '6-Furfurylaminopurine', 'Kinetin Hydrochloride', '6-(Furfurylamino)purine', 'FURFURYLAMINOPURINE, 6-', '6-Furfurylamino-9H-purine', 'Furanmethanamine, N-1H-purin-6-yl-', 'Purin-6-amine, N-(2-furanylmethyl)-', 'N-(2-furanylmethyl)-1H-Purin-6-amine', 'N-(furan-2-ylmethyl)-5H-purin-6-amine', 'N-(furan-2-ylmethyl)-7H-purin-6-amine hydrochloride']","skin-conditioning agent - miscellaneous,skin conditioning"
1503,KOJIC ACID,,SOLUBLE,142.11,1.1712 (rough estimate),C6H6O4,OCC1=CC(=O)C(O)=CO1,"['kojic', 'Kojic acid', '5-Hydroxy-2-hydroxymethyl-4-pyrone', '2-HYDROXYMETHYL-5-HYDROXY-4-PYRONE', '5-Hydroxy-2-(hydroxymethyl)-Î³-pyrone', '5-Hydroxy-2-(hydroxymethyl)-4-pyrone', 'Pyran-4-one, 5-hydroxy-2-(hydroxymethyl)', '5-hydroxy-2-(hydroxymethyl)-4h-pyran-4-on', '5-Hydroxy-2-(hydroxymethyl)-4H-pyran-4-one', '4H-Pyran-4-one,5-hydroxy-2-(hydroxymethyl)-', '4H-Pyran-4-one, 5-hydroxy-2-(hydroxymethyl)-']",antioxidant
1504,KOJIC DIPALMITATE,,,618.93,0.99Â±0.1 g/cm3(Predicted),C38H66O6,,"['KAD', 'LGB-KAD', 'KOJIC DIPALMITATE', 'Kojic Dipalmitate', 'Kojic acid dipalmitate', 'KOJIC ACID DIPALMITATE', 'Brillian-MB228 Kojic Dipalmitate', '2-Palmitoyloxymethyl-5-palmitoyloxy-pyrone', '2-palmitoyloxymethyl-5-palmitoyloxy-pyrone', '2-Palmitoyloxymethyl-5-palmitoyloxy-gamma-pyrone', ' 2-Palmitoyloxymethyl-5-palmitoyloxy-gamma-pyrone', 'Kojic acid dipalmitate(KAD-15,whitening agent in cosmetic)', '[6-(hexadecanoyloxymethyl)-4-oxo-pyran-3-yl] hexadecanoate', '4-OXO-6-[[(1-OXOHEXADECYL)OXY]METHYL]-4H-PYRAN-3-YL ESTER HEXADECANOIC ACID']",
1505,LACCAIC ACID,,Not found,1887.45298,1.4363 (rough estimate),C91H62N2O44, ,"['Red Lac', 'c.i.75450', 'froM Lacca', 'lac dye red', 'LACCAIC ACID', 'Laccaic Acid ', 'Shellac red color', 'Water-soluble shellac red', 'Purple sweet potato pigment']",
1506,LACTAMIDE MEA,,,,,,,,
1507,LACTAMIDOPROPYL TRIMONIUM CHLORIDE,,,,,,,"['LACTAMIDOPROPYL TRIMONIUM CHLORIDE', '1-Propanaminium, 3-(2-hydroxy-1-oxopropyl)amino-N,N,N-trimethyl-, chloride']",
1508,LACTIC ACID,,3.22,90.078,1.24,C3H6O3,C[C@@H](O)C(O)=O,['LACTIC ACID'],skin conditioning
1509,LACTITOL,,Not found,344.31,1.69Â±0.1 g/cm3(Predicted),C12H24O11,[H][C@@](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)([C@H](O)CO)[C@H](O)[C@@H](O)CO,"['Lactnol', 'LACTITOL', 'lactitol', '3-O-hexopyranosylhexitol', '4-O-(Î²-Galactosyl)-D-glucitol', '4-Î²-D-galactopyranosyl-D-glucito1', '4-O-beta-D-galactopyranosyl-D-glucitol', 'D-Glucitol, 4-O-.beta.-D-galactopyranosyl-', '4-O-(beta-D-galacto-hexopyranosyl)-D-glucitol', '4-O-?D-Galactopyranosyl-D-glucitol monohydrate', '4-O-B-D-GALACTOPYRANOSYL-D-GLUCITOL MONOHYDRATE']","flavoring agent,humectant,skin-conditioning agent - humectant,skin conditioning"
1510,LACTOFERRIN,,Not found,565.72,1.195Â±0.06 g/cm3(Predicted),C27H47N7O6, ,"['JSTX-3', 'Lactoferrin', 'lactoferrin,LF', 'JORO SPIDER TOXIN', 'JORO SPIDER TOXIN JSTX-3', 'JORO-SPIDER-TOXIN, [125I]', 'N-[5-[3-[4-(3-Aminopropylamino)butylamino]propionylamino]pentyl]-NÎ±-(2,4-dihydroxyphenylacetyl)asparaginamide', 'N1-(5-(3-(3-(4-Aminobutylamino)propylamino)propanamido)pentyl)-2-(2-(2,4-dihydroxyphenyl)acetamido)succinamide', '(S)-N-[5-[[3-[[4-[(3-Aminopropyl)amino]butyl]amino]propionyl]amino]pentyl]-2-[[(2,4-dihydroxyphenyl)acetyl]amino]succinamide']","hair conditioning agent,skin-conditioning agent - miscellaneous,hair conditioning,skin conditioning"
1511,LACTOFLAVIN,,5.12e-3,376.369,1.61,C17H20N4O6,CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)CO)C1=NC(=O)NC(=O)C1=N2,"riboflavin-5-phosphate,riboflavin-5-phosphate (b2),riboflavin (5-phosphate sodium),riboflavin - 30 mg/vial,riboflavin,riboflavin   ld50: (oral_ rat) >10 g/kg,Riboflavin,Vitamin B2,lactoflavine,vitamin b2,VITAMIN B2,RIBOFLAVIN,lactoflavin","color additive,colorant,cosmetic colorant,hair dyeing,skin-conditioning agent - miscellaneous,skin conditioning"
1512,LACTOSE,,5-10 g/100 mL at 20 °C,342.3,1.5300,C12H22O11,[H][C@]1(O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@H](O)O[C@@H]1CO,"['Lactose', 'Osmolactan', 'LACTOBIOSE', 'Galactinum', 'Aletobiose', 'saccharumlactin', 'Saccharum lactin', 'lactose,anhydrous', 'D-Lactose Anhydrous']","fragrance component,skin-conditioning agent - humectant,humectant,skin conditioning"
1513,LACTOYL PHYTOSPHINGOSINE,,Not found,389.577,Not found,C21H43NO5,CCCCCCCCCCCCCC[C@@H](O)[C@@H](O)[C@@H](N)C(O)C(=O)C(C)O,lactoyl phytosphingosine,skin conditioning
1514,LACTULOSE,,76.4 G/100 ML (30 °C),342.3,"1,32g/cm",C12H22O11,OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,"['MLS-50', 'Caloryl', 'Lactulose', '4618-18-2', 'lactutose syrup', '4-O-b-D-Galactosyl-D-fructose', '4-O-D-Galactopyranosyl-D-fructose', '4-o-beta-d-galactopyranosyl-d-fructos', '4-0-beta-d-galactopyranosyl-d-fructose', '4-O-beta-D-galactopyranosyl-D-fructose', '4-D-Galactopyranosyl-4-D-fructofuranose', '4-o-beta-d-galattopiranosil-d-fruttofuranosio', '4-O-beta-delta-Galactopyranosyl-delta-fructose', '4-O-beta-D-Galactopyranosyl-beta-D-fructofuranose', '4-O-Î²-D-Galactopyranosyl-D-fructose,  4-O-Î²-D-Galactopyranosyl-D-fructofuranose', '(2S,3R,4S,5R,6R)-2-{[(2R,3S,4S,5R)-4,5-Dihydroxy-2,5-bis(hydroxymethyl)tetrahydrofuran-3-yl]oxy}-6-(hydroxymethyl)tetrahydro-2H-pyran-3,4,5-triol', '(2S,3R,4S,5R,6R)-2-{[(2R,3S,4S,5R)-4,5-Dihydroxy-2,5-bis(hydroxymÃ©thyl)tÃ©trahydro-3-furanyl]oxy}-6-(hydroxymÃ©thyl)tÃ©trahydro-2H-pyran-3,4,5-triol', '(2S,3R,4S,5R,6R)-2-{[(2R,3S,4S,5R)-4,5-Dihydroxy-2,5-bis(hydroxymethyl)tetrahydro-3-furanyl]oxy}-6-(hydroxymethyl)tetrahydro-2H-pyran-3,4,5-triol', '(2S,3R,4S,5R,6R)-2-{[(2R,3S,4S,5R)-4,5-dihydroxy-2,5-bis(hydroxymÃ©thyl)tÃ©trahydrofuran-3-yl]oxy}-6-(hydroxymÃ©thyl)tÃ©trahydro-2H-pyran-3,4,5-triol']","humectant,skin conditioning"
1515,LANETH-9 ACETATE,,,,,,,,
1516,LANETH-10 ACETATE,,,,,,,,
1517,LANOLIN,,"Soluble in ether, petroleum ether, chloroform and petroleum benzene. Sparingly soluble in ethanol. Insoluble in water.", ,0.932-0.945 g/cm3(Temp: 15 °C), , ,"['Degras', 'Lanolin', 'Wool wax', 'WOOL FAT', 'ADEPS LANAE', 'LANOLIN OIL', 'Wool grease', 'LANOLIN HYDROUS', 'Degras, neutral', 'Lanolin, hydrous', 'LANOLIN DEHYDRATE', 'Lanolin Anhydrous', 'HYPOALLERGENIC LANOLIN', 'BASE, LANOLIN OINTMENT, HYDRATED, HYDROPHILIC', 'BASE, LANOLIN OIL AND CARBAMIDE OINTMENT, HYDRATED, HYDROPHILIC']","Hair Conditioning Agent,antistatic / emollient / emulsifying / skin conditioning / hair conditioning / surfactant,film former,Emollient,Emollient; skin protectant,wax,hair conditioning agent,skin-conditioning agent - emollient,antistatic,binding,emollient,emulsifying,hair conditioning,solvent,emulsion stabilizer,skinprotectant,surfactant - emulsifying agent,skin conditioning,surfactant,cosmetic additive"
1518,LANOSTEROL,,1.93e-6,426.72,0.9600 (rough estimate),C30H50O,C[C@H](CCC=C(C)C)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3,"['LANOSTEROL', 'Lanosta-8,24-dienol', 'Lanosta-8,24-dien-3-ol', 'Lanosta-8,24-dien-3beta-ol', 'Lanosterol (Isocholesterol)', 'lanosta-8,24-dien-3-beta-ol', 'LANOSTEROL (TECHNICAL GRADE)', '(3-beta)-lanosta-24-dien-3-ol', '(3-beta)-lanosta-8,24-dien-3-ol', 'Lanosta-8,24-dien-3-ol, (3beta)-']","antistatic,emollient,hair conditioning,skin conditioning"
1519,LAPYRIUM CHLORIDE,,9.80e-4,398.97,Not found,C21H35ClN2O3,[Cl-].CCCCCCCCCCCC(=O)OCCNC(=O)C[N+]1=CC=CC=C1,"N-Lauroyl ester of colaminoformylmethylpyridinium chloride,lapirium chloride,lapyrium chloride","antimicrobial,antistatic"
