id,Chemical Name,LogP (Partition coefficient),LogS (water solubility of the ingredient),Molecular weight,Density,Chemical formula,Structure,Synonyms,Functionalities
1451,Hesperidin,,,610.56,1.65g/cm3,C28H34O15,,"HesperidinHesperidine(S)-7-[[6-O-(6-Deoxy-alpha-L-mannopyranosyl)-beta-D-glucopyranosyl]oxy]-2,3-dihydro-5-hydroxy-2-(3-hydroxy-4-methoxyphenyl)-4H-1-benzopyran-4-one,Vitamin P5-hydroxy-2-(3-hydroxy-4-methoxy-phenyl)-7-[3,4,5-trihydroxy-6-[(3,4,5 -trihydroxy-6-methyl-oxan-2-yl)oxymethyl]oxan-2-yl]oxy-chroman-4-one,7-[[6-O-(6-deoxy-.alpha.-L-mannopyranosyl)-.be ta.-D-glucopyranosyl ]oxy]-2,3-dihydro-5-hydroxy-2-(3-hydroxy-4-methox yphenyl)-, (S)-, 4H-1-Benzopyran-4-one, 7-[[6-O- (6-deoxy-.alpha.-L-mannopyranosyl-.bet a.-D-glucopyranosyl] oxy]-2,3-dihydro-5-hydr,CirantinGlucopyranosidehesperetin-7[6-O-(6-deoxy-.alpha.-L-mannopyranosyl)]-beta-D-Hesperetin 7-rhamnoglucosideHesperetin 7-rutinosideHesperetin 7-[6-O- (6-deoxy-.alpha.-L-mannopyranosyl)]-.beta.-D-gluco pyranosid e)Hesperetin-7-rutinoside(2S)-HesperidinS)-(-)-HesperidineHesperidosideHesperitin-7-rhamnoglucosideNSC44184Usaf cf-35-hydroxy-2-(3-hydroxy-4-methoxyphenyl)-4-oxo-3,4-dihydro-2H-chromen-7-yl 6-O-(6-deoxyhexopyranosyl)hexopyranoside,(2S)-5-hydroxy-2-(3-hydroxy-4-methoxyphenyl)-4-oxo-3,4-dihydro-2H-chromen-7-yl 6-O-(6-deoxy-alpha-L-mannopyranosyl)-beta-D-glucopyranoside,(2S)-5-hydroxy-2-(3-hydroxy-4-methoxyphenyl)-4-oxo-3,4-dihydro-2H-chromen-7-yl 6-O-(6-deoxy-beta-L-mannopyranosyl)-beta-D-glucopyranoside,(2S)-5-hydroxy-2-(3-hydroxy-4-methoxyphenyl)-4-oxo-3,4-dihydro-2H-chromen-7-yl 6-O-(6-deoxy-alpha-L-erythro-hexopyranosyl)-beta-D-threo-hexopyranoside,",
1452,Hesperidin,,,610.56,1.65g/cm3,C28H34O15,,"HesperidinHesperidine(S)-7-[[6-O-(6-Deoxy-alpha-L-mannopyranosyl)-beta-D-glucopyranosyl]oxy]-2,3-dihydro-5-hydroxy-2-(3-hydroxy-4-methoxyphenyl)-4H-1-benzopyran-4-one,Vitamin P5-hydroxy-2-(3-hydroxy-4-methoxy-phenyl)-7-[3,4,5-trihydroxy-6-[(3,4,5 -trihydroxy-6-methyl-oxan-2-yl)oxymethyl]oxan-2-yl]oxy-chroman-4-one,7-[[6-O-(6-deoxy-.alpha.-L-mannopyranosyl)-.be ta.-D-glucopyranosyl ]oxy]-2,3-dihydro-5-hydroxy-2-(3-hydroxy-4-methox yphenyl)-, (S)-, 4H-1-Benzopyran-4-one, 7-[[6-O- (6-deoxy-.alpha.-L-mannopyranosyl-.bet a.-D-glucopyranosyl] oxy]-2,3-dihydro-5-hydr,CirantinGlucopyranosidehesperetin-7[6-O-(6-deoxy-.alpha.-L-mannopyranosyl)]-beta-D-Hesperetin 7-rhamnoglucosideHesperetin 7-rutinosideHesperetin 7-[6-O- (6-deoxy-.alpha.-L-mannopyranosyl)]-.beta.-D-gluco pyranosid e)Hesperetin-7-rutinoside(2S)-HesperidinS)-(-)-HesperidineHesperidosideHesperitin-7-rhamnoglucosideNSC44184Usaf cf-35-hydroxy-2-(3-hydroxy-4-methoxyphenyl)-4-oxo-3,4-dihydro-2H-chromen-7-yl 6-O-(6-deoxyhexopyranosyl)hexopyranoside,(2S)-5-hydroxy-2-(3-hydroxy-4-methoxyphenyl)-4-oxo-3,4-dihydro-2H-chromen-7-yl 6-O-(6-deoxy-alpha-L-mannopyranosyl)-beta-D-glucopyranoside,(2S)-5-hydroxy-2-(3-hydroxy-4-methoxyphenyl)-4-oxo-3,4-dihydro-2H-chromen-7-yl 6-O-(6-deoxy-beta-L-mannopyranosyl)-beta-D-glucopyranoside,(2S)-5-hydroxy-2-(3-hydroxy-4-methoxyphenyl)-4-oxo-3,4-dihydro-2H-chromen-7-yl 6-O-(6-deoxy-alpha-L-erythro-hexopyranosyl)-beta-D-threo-hexopyranoside,",
1453,Hexacosyl Glycol,,,,,,,,
1454,Hexahydrohexamethyl Cyclopentabenzopyran,,,,,,,,
1455,Hexamethyldisiloxane,,insoluble,162.38,,C6H18OSi2,,HMDSOHexamethyl DisiloxaneMMHMDO,
1456,Hexamidine,,,606.714,,C20H26N4O2.2C2H6O4S,,Hexamidine diisethionate,
1457,Hexamidine Diisethionate,,,606.714,,C20H26N4O2.2C2H6O4S,,Hexamidine diisethionate,
1458,Hexanediol Distearate,,,,,,,,
1459,"1,2,6-Hexanetriol",,miscible,134.174,1.113g/cm3,C6H14O3,,"1,2,6-Trihydroxyhexane,hexane-1,2,6-triol,(2R)-hexane-1,2,6-triol,(2S)-hexane-1,2,6-triol,",
1460,3-Hexenol,,,100.16,0.817 g/mL at 25 ??C(lit.),C6H12O,,"HEXENOL, BETA- AND GAMMA-,T3 HEXENOLT3 LEAF ALCOHOLTRANS-3-HEXEN-1-OLTRANS-3-HEXENOL(3E)-3-Hexen-1-ol3-Hexen-1-ol (c,t),3-hexenol",
1461,Hexeth-4 Carboxylic Acid,,,,,,,,
1462,Hexetidine,,,,,,,,
1463,Hexyl Alcohol,,6 g/L (25???),102.18,0.8136,C6H14O,,1-Hexyl alcohol1-hexanolAlcohol C-6Hexan-1-olCaproic alcoholHexyl AlcoholHexyl Alcohol(Alcohol C-6)n-Hexyl AlcoholAmyl carbinolNatural Hexyl Alcohol,
1464,Hexyl Isostearate,,,,,,,,
1465,Hexyl Laurate,,,284.47724,,C18H36O2,,,
1466,Hexyl Nicotinate,,,207.27,1.02g/cm3,C12H17NO2,,Hexyl pyridine-3-carboxylateNicotinicacidnhexylesterNicotinic acid n-hexyl esterHexyl Nicotinoate,
1467,Hexyldecanoic Acid,,,,,,,,
1468,Hexyldecanol,,,242.44,0.834g/cm3,C16H34O,,"1-Decanol, 2-hexyl-,2-Hexyl-1-decanolHexyldecanolAI3-19964UNII-151Z7P13172-Hexyldecan-1-ol",
1469,Hexyldecyl Benzoate,,,,,,,,
1470,Hexyldecyl Ethylhexanoate,,,,,,,,
1471,Hexyldecyl Isostearate,,,,,,,,
1472,Hexyldecyl Oleate,,,,,,,,
1473,Hexyldecyl Stearate,,,,,,,,
1474,Hexyldodecyl Salicylate,,,,,,,,
1475,Hexylene Glycol,,soluble,118.174,0.96g/cm3,C6H14O2,,"2-Methylpentane-2,4-diol,DiolaneHexylene glycolHexylene Glycol (2-Methyl-2,4-Pentanediol,IsolPinakonMPDhexane-1,2-diol,(4S)-2-methylpentane-2,4-diol,(4R)-2-methylpentane-2,4-diol,",
1476,Hinokitiol,,,164.2,1.127g/cm3,C10H12O2,,"Beta-ThujaplicineHinokitiol2-hydroxy-6-(propan-2-yl)cyclohepta-2,4,6-trien-1-one,",
1477,Hippuric Acid,,,179.17,,C9H9NO3,,N-Benzoylglycine[(phenylcarbonyl)amino]acetate2-benzamidoacetic acid,
1478,Histidine,,41.6 g/L (25???),155.156,,C6H9N3O2,,"L-Histidine,free base,L-HIS = H-His-OHL-Histidine BaseH-His-OHHisL-[+]-HistidineHistidine",
1479,Histidine Hydrochloride,,,191.62,,C6H9N3O2.HCl,,"L-Histidine hydrochloride solutionhistidine hydrochlorideL-Histidine hydrochlorideL-histidine monohydrochloride1-carboxy-2-(1H-imidazol-5-yl)ethanaminium chlorideCCRIS 78142-{[4-(1-methylethyl)phenyl]methylidene}-3-oxo-2,3-dihydro-1-benzofuran-6-yl cyclohexanecarboxylate,",
1480,Homosalate,,<0.1 g/100 mL at 26???,262.34,1.1g/cm3,C16H22O3,,"HMS3,3,5-TRIMETHYLCYCLOHEXYL SALICYLATE,",
1481,Humulus Lupulus Extract,,,,,,,,
1482,Hyaluronic Acid,,,776.649,1.78g/cm3,C28H44N2O23,,"hyaluronanHAbeta-D-glucopyranuronosyl-(1->3)-(3xi)-2-(acetylamino)-2-deoxy-beta-D-ribo-hexopyranosyl-(1->4)-beta-D-glucopyranuronosyl-(1->3)-(3xi)-2-(acetylamino)-2-deoxy-beta-D-ribo-hexopyranosebeta-D-glucopyranose, O-beta-D-glucopyranuronosyl-(1->3)-O-2-(acetylamino)-2-deoxy-beta-D-glucopyranosyl-(1->4)-O-beta-D-glucopyranuronosyl-(1->3)-2-(acetylamino)-2-deoxy-, monosodium salt,sodium (2S,3S,4R,5R,6R)-3-{[(2S,3R,5S,6R)-3-(acetylamino)-5-hydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yl]oxy}-4,5,6-trihydroxytetrahydro-2H-pyran-2-carboxylate (non-preferred name),(3S,4R,5R,6R)-3-[(2S,3R,5S,6R)-3-acetamido-4-[(2S,3R,4S,6S)-6-carboxy-3,4,5-trihydroxy-tetrahydropyran-2-yl]oxy-5-hydroxy-6-(hydroxymethyl)tetrahydropyran-2-yl]oxy-6-[(3R,4R,5S,6R)-3-acetamido-2,5-dihydroxy-6-(hydroxymethyl)tetrahydropyran-4-yl]oxy-4,5-dihydroxy-tetrahydropyran-2-carboxylic acid,",
1483,Hydrated Silica,,,,,O2Si,,"white carbonWhite carbon black,combustion method,Pelleted Hydrated SilicaHydrated SilicaSilicondioxidehydrateSilica, hydrate,Precipitated silicaSilica Dioxide",
1484,Hydroabietyl Alcohol,,,,,,,,
1485,Hydrochloric Acid,,miscible,36.4609,,HCl,,"Chlorohydric acidHydrogen chlorideHydrogen chloride (acid)HYDROGEN CHLORIDE GAS ONLYMuriatic acidHydrochloric acid,refined,Hydrochloric acid,medicinal,chloridecyclohexyl 2-hydroxybenzoateIndustrial Synthetic Hydrochloric AcidFood Additives Hydrochloric AcidHydrochloric acid,technical,",
1486,Hydrochlorofluorocarbon 22,,Slightly soluble,86.4684,1.277g/cm3,CHClF2,,"ChlorodifluoromethaneChlorofluorocarbon 22Fluorocarbon 22Hydrochlorofluorocarbon 22Methane, chlorodifluoro-,Propellant 22Algeon 22Algofrene 22Algofrene type 6Arcton 22Arcton 4BRN 1731036CCRIS 858CFC 22Daiflon 22DifluorochloromethaneDifluoromonochloromethaneDymel 22Electro-CF 22Eskimon 22F 22F 22 (halocarbon)FC 22FKW 22Flugene 22Fluorocarbon-22Forane 22Forane 22 BFreon 22FrigenFrigen 22Genetron 22HCFC 22HFA-22HSDB 143Haltron 22Isceon 22Khladon 22MonochlorodifluoromethaneR 22 (refrigerant)R-22Racon 22Refrigerant R 22Ucon 22Chlorodifluoromethane [R22] [UN1018] [Nonflammable gas]R22 [UN1018] [Nonflammable gas]UN1018",
1487,Hydrochlorofluorocarbon 142B,,,,,,,,
1488,Hydrofluorocarbon 152A,,,,,,,,
1489,Hydrogen Peroxide,,miscible,34.0147,1.444g/cm3,H2O2,,Hydrogen Peroxide solutionHydrogen peroxide 100 volumesIndustrial Hydrogenperoxide,
1490,Hydrogenated Castor Oil,,,,,,,"Castor oil, hydrogenated, ethoxylated,Polyoxyethylene hydrogenated castor oilHydrogenated Castor Oil EthoxylatePEG-40 Hydrogenated Castor OilEmulsifier HELPolyethyleneglycol castor oil, hydrogenated,",
1491,Hydrogenated Methyl Abietate,,,,,,,,
1492,Hydrogenated Peanut Oil,,,,,,,,
1493,Hydrogenated Polydecene,,,,,,,,
1494,Hydrogenated Starch Hydrolysate,,,506.45296,,C18H34O16,,"Glucosesyrup,hydrogenated,Syrups,hydrolyzedstarch,hydrogenated,hydrolyzate,hydrogenated,HYDROGENATEDCORNSYRUPHYDROGENATEDSTARCHHYDROLYSATESstarch, hydrogenated, hydrolysate,POLYMEG POLYOLSPOLYMERIC POLYOLS",
1495,Hydrogenated Styrene Butadiene Copolymer,,,,,,,,
1496,Hydrogenated Tallowamine,,84 mg l-1 (e),0,,,,"Hydrogenated tallow alkyl aminesHydrogenated tallow amineStearyl AmineHydrogenated tallow aminesA HTTallowalkylamine, hydrogenated,Hydrogenated tallowamine",
1497,Hydroquinone,,70 g/L (20???),110.112,1.32,C6H6O2,,"1,4-Benzenediol,QuinolHydroxyquinone1,4-Dihydroxybenzene,benzene-1,4-diol,6,7-dihydroxy-2H-chromen-2-one,1,4-Dihydroxy benzene,",
1498,Hydroxy Benzoxathiolone,,,,,,,,
1499,Hydroxyanthraquinoneaminopropyl Methyl Morpholinium Methosulfate,,,,,,,,
1500,Hydroxyapatite,,,502.31,,Ca5(OH)(PO4)3,,"hydroxylapatite high resolutionHydroxylapatite, Fast Flow,hydroxyapatite type IHydroxyapatiteCalcium phosphate hydroxideDurapatite",
1501,4-Hydroxybenzoic Acid,,,178.18,1.0348 g/cm3,C10H10O3,,"ALLYLPARABENALLYL 4-HYDROXYBENZOATE4-Hydroxybenzoic acid 2-propenyl esterp-Hydroxybenzoic acid allyl esterAllyl 4-Hydroxybenzoic acidAllylparaben 4-Hydroxybenzoic Acid Allyl EsterBenzoic acid, 4-hydroxy-, 2-propen-1-yl ester,",
1502,Hydroxybenzomorpholine,,,,,,,,
1503,Hydroxybutyl Methylcellulose,,,,,,,,
1504,Hydroxycapric Acid,,,,,,,,
1505,Hydroxycaproyl Phytosphingosine,,,,,,,,
1506,Hydroxycaprylic Acid,,,,,,,,
1507,Hydroxycapryloyl Phytosphingosine,,,,,,,,
1508,Hydroxycetyl Hydroxyethyl Dimonium Chloride,,,,,,,,
1509,Hydroxycetyl Isostearate,,,,,,,,
1510,Hydroxycinnamic Acid,,,,,,,,
1511,Hydroxycitronellal,,,305.412,1.01g/cm3,C18H27NO3,,"2-[(7-hydroxy-3,7-dimethyloctylidene)amino]-benzoicacimethylester,Benzoicacid,2-[(7-hydroxy-3,7-dimethyloctylidene)amino]-,methylester,HYDROXYCITRONELLYLIDENE METHYLANTHRANILATEAURALVAAURANTIOLAURANTIONAURANTIUMmethyl 2-{[(1E)-7-hydroxy-3,7-dimethyloctylidene]amino}benzoate,",
1512,"2,6-Bis(2-Hydroxyethoxy)-3,5-Pyridinediamine Hcl",,,,,,,,
1513,Hydroxyethyl Behenamidopropyl Dimonium Chloride,,,,,,,,
1514,Hydroxyethyl Cetyldimonium Chloride,,,,,,,,
1515,Hydroxyethyl Cetyldimonium Phosphate,,,,,,,,
1516,Hydroxyethyl Diphenyl Imidazoline,,,,,,,,
1517,Hydroxyethyl Laurdimonium Chloride,,,,,,,,
1518,Hydroxyethyl Palmityl Oxyhydroxypropyl Palmitamide,,,,,,,,
1519,2-Hydroxyethyl Picramic Acid,,,243.17,,C8H9N3O6,,,
1520,Hydroxyethyl-2-Nitro-P-Toluidine,,,,,,,,
1521,"Hydroxyethyl-3,4-Methylenedioxyaniline Hcl",,,,,,,,
1522,2-Hydroxyethylamino-5-Nitroanisole,,,,,,,,
1523,Hydroxyethylcellulose,,,,,,,,
1524,"Hydroxyethyl-2,6-Dinitro-P-Anisidine",,,,,,,,
1525,4-Hydroxyindole,,slightly soluble,133.15,1.275g/cm3,C8H7NO,,"4-Hydroxylndole1H-INDOL-4-OL1H-INDOLE-4-OL4-HYDROXY-1H-INDOLE4-INDOLOLINDOL-4-OL4-Hydroxy Indole (4-Indolol)4-Hydroxxyindole1,5-dihydro-4H-indol-4-one,4-hydroxy-indol4-hydroxy indole",
1526,6-Hydroxyindole,,,133.15,1.479g/cm3,C8H7NO,,"6-Indolol1H-indol-6-ol5,7-dichloro-1H-indole,",
1527,Hydroxylamine Hcl,,560 g/L (20???),69.49,,NH2OH??HCl,,Oxammonium HydrochlorideHydroxylamine HclHydroxylammonium ChlorideOxammonium HclHydroxyaminehydrochlorideHydroxylaminechlorideOxammioniumHydroxyammonium ChlorideHydroxylamine,
1528,Hydroxylated Lecithin,,,,,,,,
1529,Hydroxylauric Acid,,,,,,,,
1530,Hydroxylauroyl Phytosphingosine,,,,,,,,
1531,Hydroxymethoxybenzyl Pelargonamide,,,,,,,,
1532,Hydroxymethyl Dioxoazabicyclooctane,,,,,,,,
1533,Hydroxyoctacosanyl Hydroxystearate,,,,,,,,
1534,Hydroxyphenyl Glycinamide,,,,,,,,
1535,Hydroxyproline,,,181.62,,C6H11NO3??HCl,,"4-Hydroxy-L-Proline Methyl Ester HclH-Hyp-Ome HclH-L-Hyp-Ome HclHydroxyproline-Ome HclL-4-Hydroxyproline Methyl Ester HydrochlorideL-4-Hydroxyproline Methyl Ester Hydrochloride SaltL-4-Trans-Hydroxyproline Methyl Ester HydrochlorideL-4-Trans-Hydroxyproline Methyl Ester Hydrochloride SaltL-Trans-4-Hydroxyproline Methyl Ester Hydrochloride SaltMethyl (2S,4R)-4-Hydroxypyrrolidine-2-Carboxylate Hydrochloride,(2S,4R)-Methyl 4-Hydroxypyrrolidine-2-Carboxylate Hydrochloride,Trans-4-Hydroxy-L-Proline Methyl Ester HydrochlorideHcl.Trans-D-Hyp-OmeH-Hyp-Ome??Hcl",
1536,Hydroxypropyl Bis(N-Hydroxyethyl-P-Phenylenediamine) Hcl,,,506.29,,C19H28N4O3,,,
1537,Hydroxypropyl Bisisostearamidopropyldimonium Chloride,,,,,,,,
1538,Hydroxypropyl Bisstearyldimonium Chloride,,,,,,,,
1539,Hydroxypropyl Cyclodextrin,,,,,,,,
1540,Hydroxypropyl Starch Phosphate,,,,,,,,
1541,4-Hydroxypropylamino-3-Nitrophenol,,,212.203,1.414g/cm3,C9H12N2O4,,4-Hydroxypropyl amino-3-nitro phenol3-Nitro-4-hydroxypropylphenol3-Nitro-N-(2-Hydroxypropyl)-4-Aminophenol3-nitro-4-hydroxypropylaminophenol4-[(1-hydroxypropyl)amino]-3-nitrophenolHC RED BN,
1542,Hydroxypropylcellulose,,,,,,,,
1543,Hydroxypyridinone,,,111.0987,1.431??0.06 g/cm3(Predicted),C5H5NO2,,"2-Pyridinol-1-oxide1-HYDROXY-2(1H)-PYRIDINONE SPECIALITY CHEMICALShydroxyl-2-pyridoneHYDROXYPYRIDINONE1-Hydroxy-1,2-dihydropyridine-2-one,1-hydroxy-1,2-dihydropyridin-2-one,2(1H)-Pyridinone, 1-hydroxy-,",
1544,Hydroxystearamide Mea,,,,,,,,
1545,Hydroxystearamidopropyl Trimonium Chloride,,,,,,,,
1546,Hydroxystearamidopropyl Trimonium Methosulfate,,,,,,,,
1547,Hydroxystearyl Methylglucamine,,,,,,,,
1548,Imidazole,,633 g/L (20???),68.08,1.116g/cm3,C3H4N2,,"GlyoxalineImidazole GlyoxalineImidazole, ULTROL Grade,1,3-diazole,IMZ1H-imidazole",
1549,Imidazolidinyl Urea,,soluble,388.29,1.85g/cm3,C11H16N8O8,,"Biopure 100Germall 115ImidureaImidurea NFSept 115Tristat 1UUnicide U-13Imidazolidinyl Urea1-[(4R)-3-(hydroxymethyl)-2,5-dioxoimidazolidin-4-yl]-3-[({[(4S)-3-(hydroxymethyl)-2,5-dioxoimidazolidin-4-yl]carbamoyl}amino)methyl]urea (non-preferred name),",
1550,Indigofera Tinctoria,,,,,,,,
1551,Inositol,,14 g/100 mL (25???),180.16,,C6H12O6,,"CyclohexanehexolHexahydroxycyclohexanemyo-inositol plant cell culture testedmyo-Inositol, FCC Grade i-Inositol, FCC Grade,meso-inositolp-Iodo PhenolMyo-InositolInositInositol NF12(1R,2S,3r,4R,5S,6s)-1,2,3,4,5,6-Cyclohexanehexol,(1R,2S,3r,4R,5S,6s)-1,2,3,4,5,6-Cyclohexanhexol,(1R,2S,3r,4R,5S,6s)-Cyclohexane-1,2,3,4,5,6-hexol,1,2,3,4,5,6-cyclohexanehexol, (1a,2a,3a,4b,5a,6b)-,1,2,3,4,5,6-Cyclohexanehexol, (1alpha,2alpha,3alpha,4beta,5alpha,6beta)-,INOSITALInositol NF",
1552,Inositol Hexanicotinate,,,810.72,1.5g/cm3,C42H30N6O12,,"myo-inositol hexanicotinateInositol NicotinateInositol Hexanicotinatecyclohexane-1,2,3,4,5,6-hexayl hexapyridine-3-carboxylate,",
1553,Iodopropynyl Butylcarbamate,,,281.09,1.606g/cm3,C8H12INO2,,IPBC3-Iodo-2-propynyl N-butylcarbamate3-Iodo-2-PropynyI ButylCarbamate3-Iodo-2-Propynyl ButylCarbamate3-iodoprop-2-yn-1-yl butylcarbamate2-(1-iodoethyl)pent-3-yn-1-yl carbamate3-iodoprop-1-yn-1-yl butylcarbamate,
1554,Iron Hydroxide,,Soluble in mineral acids. Insoluble in water and ethanol.,88.85,3.4-3.9,FeHO2,,"Iron hydroxide oxideFerric oxide hydroxideFerrous acidIron monohydroxide monooxideIron(III) hydroxide, alpha-phase,Iron(III)oxide,Ferric hydroxide oxide,",
1555,Isoamyl Acetate,,0.20 g/100 mL. Slightly soluble,130.185,0.879g/cm3,C7H14O2,,IsoamylacetatemixtureofisomersAcetic Acid Isoamyl Ester3-methylbutyl acetateIsopentyl Acetate,
1556,Isoamyl Alcohol,,25 g/L (20???),88.1482,0.809g/cm3,C5H12O,,"Isoamyl AlcoholIsopentanolIsopentyl Alcohol3-Methyl-1-Butanol(1s-Exo, Exo-3-(N-(3,5-Dimethylphenyl)Benzenesulfonamide)Iso-Borneol,Natural Isoamyl AlcoholNatural 3-MethylbutanolIsoamyl Alconol2-methylbutan-1-ol2,2-dimethylbutanoic acid,3-methylbutan-1-ol3-methylbutanol3-Methyl Butanol",
1557,Isoamyl Laurate,,,270.45,0.856 g/mL at 25 ??C(lit.),C17H34O2,,"3-Methylbutyl dodecanoateDodecanoic acid, 3-methylbutyl ester,Dodecanoicacid,3-methylbutylester,Isoamyl dodecanoateiso-Amyl n-dodecanoateLauric acid, isopentyl ester,",
1558,Isoamyl P-Methoxycinnamate,,,248.32,1.031g/cm3,C15H20O3,,Isoamylp-methoxycinnamateIsoamyl P-methoxycinnamate3-methylbutyl 3-(4-methoxyphenyl)prop-2-enoate3-methylbutyl (2E)-3-(4-methoxyphenyl)prop-2-enoateISOPENTYL-4-METHOXYCINNAMATE,
1559,Isobutane,,,58.12,,C4H10,,"Isobutane,high purity,2-Methylpropane,high purity,R600A",
1560,Isobutoxypropanol,,,,,,,,
1561,Isobutyl Acetate,,7 g/L (20???),116.158,0.883g/cm3,C6H12O2,,iso-Butyl acetate2-Methylpropyl acetateAcetic acid iso-butyl ester2-Methyl-1-propyl acetate,
1562,Isobutyl Benzoate,,,178.228,0.999,C11H14O2,,"Isobutyl benzoate, (Benzoic acid isobutyl ester),Benzoic acid isobutyl ester",
1563,Isobutyl Myristate,,,,,,,,
1564,Isobutyl Palmitate,,,,,,,,
1565,Isobutyl Pelargonate,,,,,,,,
1566,Isobutyl Stearate,,,340.584,0.861g/cm3,C22H44O2,,"Isobutyl stearate2-Methylpropyl octadecanoateOctadecanoic acid, 2-methylpropyl ester,Stearic acid, 2-methylpropyl ester,3-02-00-01017 (Beilstein Handbook Reference)BRN 1792857HSDB 2177Stearic acid, isobutyl ester,",
1567,Isobutylene Isoprene Copolymer,,,,,,,,
1568,Isobutylene Ma Copolymer,,,,,,,,
1569,Isobutylparaben,,Insoluble in water.,194.23,1.105g/cm3,C11H14O3,,4-Hydroxybenzoic acid isobutyl esterIsobutyl paraben2-Methylpropyl 4-hydroxybenzoateiso-Butyl ParabenIsobutyl-P-HydroxybenzoateIsobutylparaben,
1570,Isobutyric Acid,,210 g/L (20???),88.1063,,C4H8O2,,2-Methylpropionic acidIsobutyricacidiso-Butyric acidISO-BUTYRIC AIDDimethyl acetic acidMethyl propionic acid2-methylpropanoate,
1571,Isoceteth-20,,,,,,,,
1572,Isocetyl Alcohol,,,,,,,,
1573,Isocetyl Behenate,,,,,,,,
1574,Isocetyl Ethylhexanoate,,,,,,,,
1575,Isocetyl Isodecanoate,,,,,,,,
1576,Isocetyl Isostearate,,,,,,,,
1577,Isocetyl Laurate,,,,,,,,
1578,Isocetyl Myristate,,,,,,,,
1579,Isocetyl Palmitate,,,,,,,,
1580,Isocetyl Salicylate,,,,,,,,
1581,Isocetyl Stearate,,,508.902,0.857g/cm3,C34H68O2,,"14-Methylpentadecyl stearateoctadecanoic acid, 14-methylpentadecyl ester,14-methylpentadecyl octadecanoate",
1582,Isocetyl Stearoyl Stearate,,,,,,,,
1583,Isodecyl Citrate,,,,,,,,
1584,Isodecyl Ethylhexanoate,,,,,,,,
1585,Isodecyl Hydroxystearate,,,,,,,,
1586,Isodecyl Isononanoate,,,,,,,,
1587,Isodecyl Laurate,,,,,,,,
1588,Isodecyl Myristate,,,,,,,,
1589,Isodecyl Neopentanoate,,,,,,,,
1590,Isodecyl Oleate,,,,,,,,
1591,Isodecyl Palmitate,,,,,,,,
1592,Isodecyl Salicylate,,,,,,,,
1593,Isodecyl Stearate,,,,,,,,
1594,Isododecane,,Immiscible with water.,170.335,0.75g/cm3,C12H26,,"2-Methylundecaneundecane, 2-methyl-,",
1595,Isododecene,,,,,,,,
1596,Isoeicosane,,,,,,,,
1597,Isoeugenol,,,164.2,1.074g/cm3,C10H12O2,,1-Hydroxy-2-methoxy-4-propen-1-yl benzene1-hydroxy-2-methoxy-4-propenyl-(cis)benzene2-Methoxy-4-(1-propenyl) phenol2-Methoxy-4-propenylphenol4-Hydroxy-3-methoxy-1-propenylbenzene4-Propenyl-2-methoxyphenol4-Propenylguaiacol2-methoxy-4-(prop-1-en-1-yl)phenol2-methoxy-4-[(1E)-prop-1-en-1-yl]phenol,
1598,Isohexadecane,,,226.44,,C16H34,,,
1599,Isohexyl Laurate,,,,,,,,
1600,Isohexyl Neopentanoate,,,,,,,,
1601,Isohexyl Palmitate,,,,,,,,
1602,Isolaureth-3,,,,,,,,
1603,Isolaureth-6,,,,,,,,
1604,Isolaureth-10,,,,,,,,
1605,Isoleucine,,41.2 g/L (50???),131.174,,C6H13NO2,,"2-Amino-3-methylvaleric acid(2S)-2-Amino-3-methylpentanoic acid(2S,3S)-(+)-Isoleucine,L-2-Amino-3-methylvaleric AcidL-(+)-Isoleucine(2S,3S)-2-amino-3-methyl-Pentanoic acid,(2S,3S)-a-Amino-b-methyl-n-valeric acid,(2S,3S)-a-Amino-b-methylvaleric acid,IleIsoleucinaiso-leucineIsoleucine (USP)Isoleucine, L-,Isoleucinum6-Amino-5-ethylamino-1-methyluracilIsoleucineL-ISOLEUSINEH-Ile-OH",
1606,Isolongifolene Epoxide,,,,,,,,
1607,Isolongifolene Ketone Exo,,,,,,,,
1608,Isomalt,,,344.31,,C12H24O11,,Isomalt,
1609,Isomalt,,,344.31,,C12H24O11,,Isomalt,
1610,Isomalt,,,344.31,,C12H24O11,,Isomalt,
1611,Isononamidopropyl Ethyldimonium Ethosulfate,,,,,,,,
1612,Isononyl Ferulate,,,,,,,,
1613,Isooctane,,INSOLUBLE,114.23,0.692,C8H18,,isooctane B&J brand 2.5 L,
1614,Isooctyl Thioglycolate,,,204.33,"0,97 g/cm3",C10H20O2S,,"THIOGLYCOLIC ACID ISOOCTYL ESTERACETIC ACID, MERCAPTO, ISOOCTYL ESTER,MERCAPTOACETIC ACID ISOOCTYL ESTERIOTGIOTG(TM)ISOOCTYL THIOGLYCOLATEISOOCTYLTHIOGLYCOLLATE",
1615,Isopentane,,,72.15,0.62,C5H12,,IsopentaneISO-PENTANE,
1616,Isopentylcyclohexanone,,,,,,,,
1617,Isopentyldiol,,,104.148,0.981g/cm3,C5H12O2,,"1,3-butanediol, 3-methyl-,2-Methyl-2,4-butanediol,isopentyldiol,isopreneglycol,3-METHYL-1,3-BUTANEDIOL,Methyl-1,3-butanediol,1,3-Isopentyldiol,",
1618,Isopropanolamine,,,248.21,,C6H18N2O2.H3O4P,,,
