id,Chemical Name,LogP (Partition coefficient),LogS (water solubility of the ingredient),Molecular weight,Density,Chemical formula,Structure,Synonyms,Functionalities
1485,Isostearyl Ethyldimonium Chloride,,,,,,,,
1486,Isostearyl Ethylhexanoate,,,,,,,,
1487,Isostearyl Glyceryl Pentaerythrityl Ether,,,408.65752,,C26H48O3,,"['ISOSTEARYL GLYCERYL PENTAERYTHRITYL ETHER', '2-(hydroxymethyl)-2-[[2-hydroxy-3-(isooctadecyloxy)propoxy]methyl]-1,3-propanediol', '1,3-Propanediol, 2-(hydroxymethyl)-2-[[2-hydroxy-3-(isooctadecyloxy)propoxy]methyl]']",
1488,Isostearyl Hydroxyethyl Imidazoline,,,,,,,,
1489,Isostearyl Isononanoate,,,410.71646,,C27H54O2,,['ISOSTEARYL ISONONANOATE'],
1490,Isostearyl Isostearate,,,,,,,,
1491,Isostearyl Lactate,,,,,,,,
1492,Isostearyl Laurate,,,,,,,,
1493,Isostearyl Laurdimonium Chloride,,,,,,,,
1494,Isostearyl Myristate,,,,,,,,
1495,Isostearyl Neopentanoate,,,,,,,,
1496,Isostearyl Palmitate,,,,,,,,
1497,Isostearyl Stearoyl Stearate,,,803.41764,,C54H106O3,,"['ISOSTEARYL STEAROYL STEARATE', 'octadecanoyl 2-hexadecyl-18-methylnonadecanoate']",
1498,Isotridecyl Isononanoate,,,,,,,,
1499,Isotridecyl Myristate,,,,,,,,
1500,Kaolin,,"insoluble H2O, dilute acids and alkali hydroxides [HAW93]",258.16,"2,6 g/cm3",H2Al2O8Si2.H2O,,"['Buca', 'kaolin', 'Argilla', 'Catalpo', 'Anhydrol', 'PAR CLAY', 'Bilt-cote', 'Bolus alba', 'China clay', 'Bilt-plates', 'Porcelain clay', 'Chinaclaypowder', 'Calcined Kaolin', 'Aluminum silicate dihydrate', 'Aluminum silicate hydroxide', 'Aluminum silicate (hydrated)']",
1501,Ketoglutaric Acid,,,,,,,,
1502,Kinetin,,"Soluble in water (<1 mg/ml) at 25°C, Acetic acid (49.00-51.00 mg/ml), DMSO (43 mg/ml) at 25°C, ethanol (<1 mg/ml) at 25°C, 0.1 N Sodium hydroxide (1% w/v), methanol (slightly), and dilute aqueous hydr",215.21,1.2639 (rough estimate),C10H9N5O,,"['FAP', '6-kt', 'Kinetin', 'KINETIN', 'KINETINE', 'AURORA 2450', 'Furfuryladenine', 'FURFURYLADENINE', '6-furfuryladenine', 'N6-Furfuryladenine', 'Adenine, N-furfuryl-', '6-FURFURYLAMINOPURINE', '6-Furfurylaminopurine', 'Kinetin Hydrochloride', '6-(Furfurylamino)purine', 'FURFURYLAMINOPURINE, 6-', '6-Furfurylamino-9H-purine', 'Furanmethanamine, N-1H-purin-6-yl-', 'Purin-6-amine, N-(2-furanylmethyl)-', 'N-(2-furanylmethyl)-1H-Purin-6-amine', 'N-(furan-2-ylmethyl)-5H-purin-6-amine', 'N-(furan-2-ylmethyl)-7H-purin-6-amine hydrochloride']",
1503,Kojic Acid,,SOLUBLE,142.11,1.1712 (rough estimate),C6H6O4,,"['kojic', 'Kojic acid', '5-Hydroxy-2-hydroxymethyl-4-pyrone', '2-HYDROXYMETHYL-5-HYDROXY-4-PYRONE', '5-Hydroxy-2-(hydroxymethyl)-Î³-pyrone', '5-Hydroxy-2-(hydroxymethyl)-4-pyrone', 'Pyran-4-one, 5-hydroxy-2-(hydroxymethyl)', '5-hydroxy-2-(hydroxymethyl)-4h-pyran-4-on', '5-Hydroxy-2-(hydroxymethyl)-4H-pyran-4-one', '4H-Pyran-4-one,5-hydroxy-2-(hydroxymethyl)-', '4H-Pyran-4-one, 5-hydroxy-2-(hydroxymethyl)-']",
1504,Kojic Dipalmitate,,,618.93,0.99Â±0.1 g/cm3(Predicted),C38H66O6,,"['KAD', 'LGB-KAD', 'KOJIC DIPALMITATE', 'Kojic Dipalmitate', 'Kojic acid dipalmitate', 'KOJIC ACID DIPALMITATE', 'Brillian-MB228 Kojic Dipalmitate', '2-Palmitoyloxymethyl-5-palmitoyloxy-pyrone', '2-palmitoyloxymethyl-5-palmitoyloxy-pyrone', '2-Palmitoyloxymethyl-5-palmitoyloxy-gamma-pyrone', ' 2-Palmitoyloxymethyl-5-palmitoyloxy-gamma-pyrone', 'Kojic acid dipalmitate(KAD-15,whitening agent in cosmetic)', '[6-(hexadecanoyloxymethyl)-4-oxo-pyran-3-yl] hexadecanoate', '4-OXO-6-[[(1-OXOHEXADECYL)OXY]METHYL]-4H-PYRAN-3-YL ESTER HEXADECANOIC ACID']",
1505,Laccaic Acid,,,1887.45298,1.4363 (rough estimate),C91H62N2O44,,"['Red Lac', 'c.i.75450', 'froM Lacca', 'lac dye red', 'LACCAIC ACID', 'Laccaic Acid ', 'Shellac red color', 'Water-soluble shellac red', 'Purple sweet potato pigment']",
1506,Lactamide Mea,,,,,,,,
1507,Lactamidopropyl Trimonium Chloride,,,,,,,"['LACTAMIDOPROPYL TRIMONIUM CHLORIDE', '1-Propanaminium, 3-(2-hydroxy-1-oxopropyl)amino-N,N,N-trimethyl-, chloride']",
1508,Lactic Acid,,,,,,,['LACTIC ACID'],
1509,Lactitol,,,344.31,1.69Â±0.1 g/cm3(Predicted),C12H24O11,,"['Lactnol', 'LACTITOL', 'lactitol', '3-O-hexopyranosylhexitol', '4-O-(Î²-Galactosyl)-D-glucitol', '4-Î²-D-galactopyranosyl-D-glucito1', '4-O-beta-D-galactopyranosyl-D-glucitol', 'D-Glucitol, 4-O-.beta.-D-galactopyranosyl-', '4-O-(beta-D-galacto-hexopyranosyl)-D-glucitol', '4-O-?D-Galactopyranosyl-D-glucitol monohydrate', '4-O-B-D-GALACTOPYRANOSYL-D-GLUCITOL MONOHYDRATE']",
1510,Lactoferrin,,,565.72,1.195Â±0.06 g/cm3(Predicted),C27H47N7O6,,"['JSTX-3', 'Lactoferrin', 'lactoferrin,LF', 'JORO SPIDER TOXIN', 'JORO SPIDER TOXIN JSTX-3', 'JORO-SPIDER-TOXIN, [125I]', 'N-[5-[3-[4-(3-Aminopropylamino)butylamino]propionylamino]pentyl]-NÎ±-(2,4-dihydroxyphenylacetyl)asparaginamide', 'N1-(5-(3-(3-(4-Aminobutylamino)propylamino)propanamido)pentyl)-2-(2-(2,4-dihydroxyphenyl)acetamido)succinamide', '(S)-N-[5-[[3-[[4-[(3-Aminopropyl)amino]butyl]amino]propionyl]amino]pentyl]-2-[[(2,4-dihydroxyphenyl)acetyl]amino]succinamide']",
1511,Lactoflavin,,,,,,,,
1512,Lactose,,5-10 g/100 mL at 20 °C,342.3,1.5300,C12H22O11,,"['Lactose', 'Osmolactan', 'LACTOBIOSE', 'Galactinum', 'Aletobiose', 'saccharumlactin', 'Saccharum lactin', 'lactose,anhydrous', 'D-Lactose Anhydrous']",
1513,Lactoyl Phytosphingosine,,,,,,,,
1514,Lactulose,,76.4 G/100 ML (30 °C),342.3,"1,32g/cm",C12H22O11,,"['MLS-50', 'Caloryl', 'Lactulose', '4618-18-2', 'lactutose syrup', '4-O-b-D-Galactosyl-D-fructose', '4-O-D-Galactopyranosyl-D-fructose', '4-o-beta-d-galactopyranosyl-d-fructos', '4-0-beta-d-galactopyranosyl-d-fructose', '4-O-beta-D-galactopyranosyl-D-fructose', '4-D-Galactopyranosyl-4-D-fructofuranose', '4-o-beta-d-galattopiranosil-d-fruttofuranosio', '4-O-beta-delta-Galactopyranosyl-delta-fructose', '4-O-beta-D-Galactopyranosyl-beta-D-fructofuranose', '4-O-Î²-D-Galactopyranosyl-D-fructose,  4-O-Î²-D-Galactopyranosyl-D-fructofuranose', '(2S,3R,4S,5R,6R)-2-{[(2R,3S,4S,5R)-4,5-Dihydroxy-2,5-bis(hydroxymethyl)tetrahydrofuran-3-yl]oxy}-6-(hydroxymethyl)tetrahydro-2H-pyran-3,4,5-triol', '(2S,3R,4S,5R,6R)-2-{[(2R,3S,4S,5R)-4,5-Dihydroxy-2,5-bis(hydroxymÃ©thyl)tÃ©trahydro-3-furanyl]oxy}-6-(hydroxymÃ©thyl)tÃ©trahydro-2H-pyran-3,4,5-triol', '(2S,3R,4S,5R,6R)-2-{[(2R,3S,4S,5R)-4,5-Dihydroxy-2,5-bis(hydroxymethyl)tetrahydro-3-furanyl]oxy}-6-(hydroxymethyl)tetrahydro-2H-pyran-3,4,5-triol', '(2S,3R,4S,5R,6R)-2-{[(2R,3S,4S,5R)-4,5-dihydroxy-2,5-bis(hydroxymÃ©thyl)tÃ©trahydrofuran-3-yl]oxy}-6-(hydroxymÃ©thyl)tÃ©trahydro-2H-pyran-3,4,5-triol']",
1515,Laneth-9 Acetate,,,,,,,,
1516,Laneth-10 Acetate,,,,,,,,
1517,Lanolin,,"Soluble in ether, petroleum ether, chloroform and petroleum benzene. Sparingly soluble in ethanol. Insoluble in water.",,0.932-0.945 g/cm3(Temp: 15 °C),,,"['Degras', 'Lanolin', 'Wool wax', 'WOOL FAT', 'ADEPS LANAE', 'LANOLIN OIL', 'Wool grease', 'LANOLIN HYDROUS', 'Degras, neutral', 'Lanolin, hydrous', 'LANOLIN DEHYDRATE', 'Lanolin Anhydrous', 'HYPOALLERGENIC LANOLIN', 'BASE, LANOLIN OINTMENT, HYDRATED, HYDROPHILIC', 'BASE, LANOLIN OIL AND CARBAMIDE OINTMENT, HYDRATED, HYDROPHILIC']",
1518,Lanosterol,,,426.72,0.9600 (rough estimate),C30H50O,,"['LANOSTEROL', 'Lanosta-8,24-dienol', 'Lanosta-8,24-dien-3-ol', 'Lanosta-8,24-dien-3beta-ol', 'Lanosterol (Isocholesterol)', 'lanosta-8,24-dien-3-beta-ol', 'LANOSTEROL (TECHNICAL GRADE)', '(3-beta)-lanosta-24-dien-3-ol', '(3-beta)-lanosta-8,24-dien-3-ol', 'Lanosta-8,24-dien-3-ol, (3beta)-']",
1519,Lapyrium Chloride,,,,,,,,
1520,Lard Glyceride,,,,,,,,
1521,Lauralkonium Bromide,,,384.44,,C21H38BrN,,"['DDBAB', 'BROMIDE', 'bacforbl', 'sterinol', 'New clean out', 'sinnoquatbl95', 'ammonylbr1244', 'sinnoquatbl80', 'Bromo-Geramine', 'Bromo Geramine', 'Benzalkonlumbromide', 'zylaminoniumbromide', 'LAURALKONIUM BROMIDE', 'BENZALKONIUM BROMIDE', 'BENZODODECINIUM BROMIDE', 'N-Dodecyl-N,N-dimethylbe', 'BENZYLDIMETHYLDODECYLAMMONIU', 'Benzyl Dimethyl Dodecyl Ammoniu', 'LAURYLDIMETHYLBENZYLAMMONIUMBROMIDE', 'benzyldodecyldimethyl-ammoniubromide', 'dimethyllaurylbenzeneammoniumbromide', 'BENZYLDODECYLDIMETHYLAMMONIUM BROMIDE', 'bromekdwumetylolaurylobenzyloamoniowy', 'AMMONIUM,BENZYLDODECYLDIMETHYL-BROMIDE', 'Dimethyl benzyl lauryl ammonium bromide', 'Dodecyl dimethyl benzyl ammonium bromide', 'N-Dodecyl-N,N-dimethylben-zylaminoniumbromide', 'N-benzyl-N,N-dimethyldodecan-1-aminium bromide', 'Dodecyl-N,N-dimethylbenzenemethanaminium bromide', 'n-dodecyl-n,n-dimethyl-benzenemethanaminiubromide', 'N-Dodecyl-N,N-dimethylbenzenemethanaminiumbromide', 'Benzenemethanaminium,N-dodecyl-N,N-dimethyl-,bromide', 'Benzenemethanaminium, N-dodecyl-N,N-dimethyl-, bromide']",
1522,Lauralkonium Chloride,,,474.125,,C29H44NO2.Cl,,"['Lauralkonium', 'Lauralkonium chloride', 'Benzyl(2-(p-(lauroyl)phenoxy)ethyl)dimethylammonium chloride']",
1523,Lauramide,,Insoluble in water,199.33,0.9216 (rough estimate),C12H25NO,,"['Amide KK', 'Diamide Y', 'LAURAMIDE', 'Lanriamide', 'Dodecamide', 'LAURYLAMIDE', 'DODECANAMIDE', 'LAUROYLAMIDE', 'Lauric amide', 'Dodecylamide', 'n-dodecanamide', 'Dodecanoylamide', 'Lauroicacidamide', 'Dodecylacid amide', 'dodecanoic acid amide']",
1524,Lauramide Dea,,,,,,,,
1525,Lauramide Mea,,,,,,,,
1526,Lauramide Mipa,,,257.41,0.919Â±0.06 g/cm3(Predicted),C15H31NO2,,"['LAURAMIDE MIPA', 'N-(2-Hydroxypropyl)dodecanamid', 'N-(2-hydroxypropyl)dodecanamide', 'N-(2-Hydroxypropyl)lauric amide', 'Dodecanamide, N-(2-hydroxypropyl)-', 'N-(2-hydroxypropan-2-yl)dodecanamide', 'N-(1-hydroxy-1-methyl-ethyl)lauramide']",
1527,Lauramidopropyl Acetamidodimonium Chloride,,,,,,,,
1528,Lauramidopropyl Betaine,,,,,C20H40N2O3,,"['Mirataine BB', 'LAURAMIDOPROPYL BETAINE', '3-(dodecanoylamino)-2-(trimethylazaniumyl)pentanoate', '1-Propanaminium, N-(carboxymethyl)-N,N-dimethyl-3-[(1-oxo dodecyl)amino]-, hydroxide, inner salt']",
1529,Lauramidopropyl Dimethylamine,,,,,,,,
1530,Lauramidopropyl Dimethylamine Propionate,,,,,,,,
1531,Lauramidopropyl Pg-Dimonium Chloride,,,,,,,,
1532,Lauramine,,,,,,,,
1533,Lauramine Oxide,,,,,,,,
1534,Lauraminopropionic Acid,,,257.41,,C15H31NO2,,"['n-dodecyl-beta-alanin', 'b-Alanine, N-dodecyl-', 'LAURAMINOPROPIONIC ACID', 'N-dodecyl-.beta.-Alanine', '.beta.-Alanine, N-dodecyl-', '3-dodecylaminopropionic acid', '3-(Dodecylamino)propanoic acid', 'N-Lauryl-B-aminopropionic acid']",
1535,Laureth-1,,,,,,,,
1536,Laureth-2,,,,,,,,
1537,Laureth-2 Acetate,,,,,,,,
1538,Laureth-2 Benzoate,,,,,,,,
1539,Laureth-2 Ethylhexanoate,,,400.63552,,C24H48O4,,['LAURETH-2 ETHYLHEXANOATE'],
1540,Laureth-3,,,,,,,,
1541,Laureth-3 Carboxylic Acid,,,332.48,,C18H36O5,,"['LAURETH-3 CARBOXYLIC ACID', '[2-[2-(dodecyloxy) ethoxy]ethoxy]-Acetic acid', 'Acetic acid, 2-[2-[2-(dodecyloxy)ethoxy]ethoxy]-']",
1542,Laureth-4 Phosphate,,,,,,,,
1543,Laureth-5,,,,,,,,
1544,Laureth-5 Carboxylic Acid,,,420.58,,C22H44O7,,"['LAURETH-5 CARBOXYLIC ACID', '3,6,9,12,15-Pentaoxaheptacosanoic acid', '2-[2-[2-[2-(2-dodecoxyethoxy)ethoxy]ethoxy]ethoxy]acetic acid']",
1545,Laureth-6,,,,,,,,
1546,Laureth-7,,,,,,,,
1547,Laureth-7 Phosphate,,,,,,,,
1548,Laureth-8 Phosphate,,,,,,,,
1549,Laureth-9,,,,,,,,
1550,Laureth-10 Carboxylic Acid,,,,,C16H32O4,,"['laureth-4carboxylicacid,laureth-5carboxylicacid,laureth-11', 'Polyoxyethylenelaurylethercarboxylicacid', 'LAURETH-11 CARBOXYLIC ACID', 'LAURETH-4 CARBOXYLIC ACID', 'LAURETH-6 CARBOXYLIC ACID', 'GLYCOLIC ACID ETHOXYLATE LAURYL ETHER', 'LAURETH-10 CARBOXYLIC ACID', 'LAURETH-14 CARBOXYLIC ACID']",
1551,Laureth-11,,,,,,,,
1552,Laureth-11 Carboxylic Acid,,,,,C16H32O4,,"['laureth-4carboxylicacid,laureth-5carboxylicacid,laureth-11', 'Polyoxyethylenelaurylethercarboxylicacid', 'LAURETH-11 CARBOXYLIC ACID', 'LAURETH-4 CARBOXYLIC ACID', 'LAURETH-6 CARBOXYLIC ACID', 'GLYCOLIC ACID ETHOXYLATE LAURYL ETHER', 'LAURETH-10 CARBOXYLIC ACID', 'LAURETH-14 CARBOXYLIC ACID']",
1553,Laureth-12,,,,,,,,
1554,Laureth-23,,,,,,,,
1555,Lauric Acid,,insoluble,200.32,0.883 g/mL at 25 °C (lit.),C12H24O2,,"['Emery651', 'yeuguisuan', 'Lauric acid', 'Dodecanoic acid', 'Laurosteaic acid', 'lauric acid, pure', 'lauric acid free acid sigma grade', 'Lauric Acid (Dodecanoic acid,C12)']",
1556,Lauroyl Glutamic Acid,,,,,,,,
1557,Lauroyl Lactylic Acid,,,,,,,,
1558,Lauroyl Lysine,,,,,,,,
1559,Lauroyl Methyl Alanine,,,,,,,,
1560,Lauroyl Pg-Trimonium Chloride,,,,,,,,
1561,Lauroyl Sarcosine,,,,,,,,
1562,Laurtrimonium Bromide,,soluble,308.34,1.1566 (rough estimate),C15H34BrN,,"['1231', 'DTAB', 'e8013', 'CetrimideSubstitute', 'LAURTRIMONIUM BROMIDE', 'trimethyllaurylammoniumbromide', 'dodecyltrimethyl-ammoniubromide', 'trimethyldodecylammoniumbromide', 'Dodecayltrimethylaminiumbromide', 'DODECYLTRIMETHYLAMMONIUM BROMIDE', 'Dodecyl Trimethyl Amonium Bromide', 'ammonium,dodecyltrimethyl-,bromide', 'Dodecyl Trimethyl Ammonium Bromide', 'N-DODECYL TRIMETHYLAMMONIUM BROMIDE', '(1-Dodecyl)trimethylammonium bromide', 'n,n,n-trimethyl-1-dodecanaminiubromide', 'N-lauryl-N,N,N-trimethylammoniumbromide', 'N,N,N-trimethyl-1-dodecanaminium bromide', '1-Dodecanaminium,N,N,N-trimethyl-,bromide', 'n,n,n-trimethyl-1-dodecanaminiubromidentis**ots0545456', '1-Dodecanaminium,N,N,N-trimethyl-,bromide ammonium,dodecyltrimethyl-,bromide']",
1563,Laurtrimonium Chloride,,,,,,,,
1564,Lauryl Alcohol,,insoluble,186.33,0.833g/mLat 25°C(lit.),C12H26O,,"['dodecanol', '1-Dodecanol', 'Alcohol, C12', 'Dodecan-1-ol', 'Lauryl alcohol', 'Hydroxydodecane', 'Dodecyl alcohol', 'Undecyl carbinol', 'N-DODECYL ALCOHOL', '1-Hydroxydodecane', 'RARECHEM AL BD 0157', 'TIMTEC-BB SBB008734', '1-DODECANOL GC STANDARD']",
1565,Lauryl Aminopropylglycine,,,,,,,,
1566,Lauryl Behenate,,,,,C34H68O2,,['LAURYL BEHENATE'],
1567,Lauryl Betaine,,,,,,,,
1568,Lauryl Diethylenediaminoglycine,,,,,,,,
1569,Lauryl Ethylhexanoate,,,,,,,,
1570,Lauryl Glycol,,,,,,,,
1571,Lauryl Hydroxyethyl Imidazoline,,33.9mg/L at 20°C,268.44,0.98Â±0.1 g/cm3(Predicted),C16H32N2O,,"['LURYLIMIDAZOLINE', 'LAURYL HYDROXYETHYL IMIDAZOLINE', '1-Hydroxyethyl-2-undecylimidazoline', '1-(2-Hydroxyethyl)-2-undecylimadazoline', '1-(2-Hydroxyethyl)-2-undecyl-2-imidazoline', '4,5-dihydro-2-undecyl-1h-imidazole-1-ethano', '4,5-dihydro-2-undecyl-1H-imidazole-1-ethanol', '1H-Imidazole-1-ethanol, 4,5-dihydro-2-undecyl-']",
1572,Lauryl Hydroxysultaine,,,,,,,,
1573,Lauryl Isoquinolinium Bromide,,,169.3269,,C12H25*,,['LAURYL ISOQUINOLINIUM BROMIDE'],
1574,Lauryl Isoquinolinium Saccharinate,,,,,,,,
1575,Lauryl Isostearate,,,,,,,,
1576,Lauryl Lactate,,,,,,,,
1577,Lauryl Methacrylate,,insoluble,254.41,0.868 g/mL at 25 °C (lit.),C16H30O2,,"['Lauryl methacrylate', 'LAURYL METHACRYLATE', 'DODECYL METHACRYLATE', 'Dodecyl methacrylate', 'dodecyl methacrylate', '1-Dodecanol methacrylate', 'Dodecyl 2-methylacrylate', 'DODECYL 2-METHYLPROPENOATE', 'DODECYL 2-METHYL-2-PROPENOATE', 'dodecyl 2-methylprop-2-enoate', 'METHACRYLIC ACID LAURYL ESTER', 'METHACRYLIC ACID DODECYL ESTER', 'Methacrylic acid, lauryl ester', 'Methacrylic acid, dodecyl ester', 'METHACRYLIC ACID N-DODECYL ESTER', 'Laurylester kyseliny methakrylove', '2-propenoic acid, 2-methyl-, dodecyl ester', '4-02-00-01529 (Beilstein Handbook Reference)']",
1578,Lauryl Myristate,,,,,,,,
1579,Lauryl Oleate,,,450.78,0.865Â±0.06 g/cm3(Predicted),C30H58O2,,"['NSC 332562', 'Lauryl oleate', 'dodecyl oleate', 'Dodecyl oleate', 'Oleic acid, lauryl ester', 'dodecyl octadec-9-enoate', 'Oleic acid dodecyl ester', 'dodecyl (9Z)-octadec-9-enoate', 'dodecyl (9E)-octadec-9-enoate', '9-Octadecenoicacid(Z)-,dodecylester', '(Z)-9-Octadecenoic acid dodecyl ester', '9-Octadecenoic acid (Z)-, dodecyl ester', '9-Octadecenoic acid (9Z)-, dodecyl ester']",
1580,Lauryl Palmitate,,,424.74,,C28H56O2,,"['Ai3-31584', 'Einecs 255-725-7', 'LAURYL PALMITATE', 'dodecyl hexadecanoate']",
1581,Lauryl Pca,,,297.43,0.990Â±0.06 g/cm3(Predicted),C17H31NO3,,"['L-Proline, 5-oxo-, dodecyl ester', '(S)-5-Oxopyrrolidine-2-carboxylic acid dodecyl ester', 'Pyroglutamic acid dodecyl ester', 'Einecs 245-224-1', 'dodecyl 5-oxo-L-prolinate', 'LAURYL PCA']",
1582,Lauryl Phosphate,,,284.33,,C12H29O5P,,"['LAURYL PHOSPHATE', 'DODECYL PHOSPHATE', 'DODECYLPHOSPHORIC ACID', 'MONO-DODECYL PHOSPHATE', 'MONO-N-DODECYL PHOSPHATE', 'Phosphorsure, Dodecylester', 'Phosphoricacid,dodecylester', 'Dodecylalcohol,phosphateester']",
1583,Lauryl Pyrrolidone,,51.7mg/L at 20°C,253.42,0.89g/mLat 25°C(lit.),C16H31NO,,"['NDP', 'CREASTAR AU-EX', 'LAURYL PYRROLIDONE', 'N-Laurylpyrrolidone', 'N-DODECYLPYRROLIDONE', 'N-Lauryl-2-pyrrolidone', '1-Lauryl-2-pyrrolidone', 'N-dodecyl-2-prrolidone', 'N-DODECYL-2-PYRROLIDONE', 'N-dodecyl-2-pyrrolidone', '1-Dodecyl-2-pyrrolidone', '1-dodecyl-2-pyrrolidinon', '1-dodecylpyrrolidin-2-one', '1-dodecyl-2-pyrrolidinone', '1-DODECYL-2-PYRROLIDINONE', 'N-(n-dodecyl) Pyrrolidinone']",
1584,Lauryl Stearate,,,452.8,,C30H60O2,,['Lauryl Stearate'],
1585,Lauryl Sultaine,,,,,,,,
1586,Laurylamine Dipropylenediamine,,,,,,,,
1587,Laurylpyridinium Chloride,,,283.8798,,C17H30ClN,,"['lpc', 'eltren', 'LPC (EGG)', 'dehyquartc', 'quaternariolpc', '1-dodecylpyridinium', 'Laurylpyridinum chloride', 'LAURYL PYRIDIUM CHLORIDE', 'LAURYLPYRIDINIUM CHLORIDE', 'DODECYLPYRIDINIUM CHLORIDE', '1-laurylpyridiniumchloride', 'Lauryl pyridinium chloride', 'N-LAURYLPYRIDINIUM CHLORIDE', '1-dodecyl-pyridiniuchloride', '1-Dodecylpyridinium chloride', 'N-LAULYL PYRIDINIUM CHLORIDE', '1-dodecylpyridinium chloride', 'N-DODECYLPYRIDINIUM CHLORIDE', 'LAURYL PYRIDINIUM CHLORIDE (EGG)', '1-Dodecylpyridin-1-ium chloride hydrate', 'PYRIDINIUM,1-DODECYL-,CHLORIDE,MONOHYDRATE']",
1588,Lawsone,,2 g/L (20 °C),174.15,1.2346 (rough estimate),C10H6O3,,"['Henna', 'Lawsone', 'C.I. 75480', 'Natural Orange 6', 'C.I. Natural Orange 6', '2-Hydroxynaphthoquinone', '2-Hydroxy-p-naphthoquinone', '2-Hydroxy-1,4-Naphoquinone', '2-hydroxy-4-naphthoquinone', '2-Hydroxy-1,4-Naphthquinone', '2-Hydroxy-1,4-naphthoquinone', '2-hydroxy-4-naphthalenedione', 'Lawsone,  Natural  Orange  6', '1,4-Naphthoquinone, 2-hydroxy-', '2-Hydroxy-1,4-naphthalenedione', '1,4-Naphthalenedione,2-hydroxy-', 'Lawsone2-hydroxy-1,4-naphthoquinone', '1,4-Dihydro-1,4-dioxo-2-hydroxynaphthalene']",
1589,Leucine,,125.5 g/L (20 °C),131.17,1.1720 (estimate),C6H13NO2,,"['LEU', 'LEUCINE', 'H-Tle-OH', 'NSC203785', 'LEUCINE, L-', '3-methylvaline', 'L-tert-Leucine', '(S)-(+)-LEUCINE', 'D-t-Butylglycine', 'L-valine,3-methyl', '3-Methyl-l-valine', 'RARECHEM AB PP 3754', 'L-A-AMINOISOCAPROIC ACID', 'L-2-AMINO-4-METHYLVALERIC ACID', 'L-A-AMINO-G-METHYL VALERIC ACID', '2-amino-3,3-dimethyl-butanoic acid', 'L-2-Amino-3,3-dimethylbutanoic acid']",
1590,Levulinic Acid,,Soluble in water ( 675g/L at 20°C).,116.12,1.134 g/mL at 25 °C (lit.),C5H8O3,,"['aevuL', '4-oxovaleric', 'Levulic Acid', 'laevulic acid', 'Levulinic acid', '4-oxopentanoate', '4-oxovaleric acid', '4-oxo-pentanoicaci', '4-Oxopentanoic acid', '2-Acetopropionicacid', '4-Keto-n-valericacid', '4-Ketopentanoic acid', '4-Oxopentanoic  acid)', 'sodium 4-oxopentanoate', '2-methyl-3-oxobutanoic acid', 'calcium bis(4-oxopentanoate)', 'Levulinic acid 4-oxopentanoic acid', 'Levulinic acid,(4-Ketopentanoic  acid', '4-Oxo-pentanoic acid (levulinic acid)']",
1591,Linalool,,1.45 g/L (25 °C),154.25,0.87 g/mL at 25 °C (lit.),C10H18O,,"['Linalol', 'Linalool', 'linalool B', 'b-Linalool', '(Â±)-Linalool', '(+-)-Linalool', 'beta-Linalool', 'femanumber2635', '.beta.-Linalool', 'Linalool ex ho oil', '1,2-Dihydrolinalool', 'Linalool ex orange oil', '2,6-Dimethyl-2,7-octadien-6-ol', '6-Octadien-3-ol,3,7-dimethyl-1', '2,6-dimethylocta-2,7-dien-6-ol', '3,7-dimethylocta-1,6-dien-3-ol', '2,6-Dimethyl-2,7-octadiene-6-ol', '2,7-Octadien-6-ol, 2,6-dimethyl-', '1,6-octadien-3-ol, 3,7-dimethyl-', '1,6-Octadien-3-ol, 3,7-dimethyl-, (-)-']",
1592,Linalyl Acetate,,499.8mg/L(25 °C),196.29,0.901g/mLat 25°C(lit.),C12H20O2,,"['FEMA 2636', 'LAVANDEX(R)', 'linalolacetate', 'LINALYL ACETATE', 'linalyl acetate', 'Linallyl acetate', 'LICAREOL ACETATE', 'LINALOOL ACETATE', 'LINALYL ACETATE EX-BOIS DE ROSE', '1,5-DIMETHYL-1-VINYL-4-HEXENYLACETATE', '1-ethenyl-1,5-dimethylhex-4-en-1-yl acetate', '(3R)-3,7-dimethylocta-1,6-dien-3-yl acetate', '(1S)-1-ethenyl-1,5-dimethylhex-4-en-1-yl acetate']",
1593,Linoleamide,,,279.46,,C18H33NO,,['LINOLEAMIDE'],
1594,Linoleamide Dea,,,,,,,,
1595,Linoleamide Mea,,,323.51,,C20H37NO2,,['LINOLEAMIDE MEA'],
1596,Linoleamide Mipa,,,,,,,,
1597,Linoleamidopropyl Dimethylamine,,,,,,,,
1598,Linoleamidopropyl Dimethylamine Dimer Dilinoleate,,,1290.10748,,C82H152N4O6,,['LINOLEAMIDOPROPYL DIMETHYLAMINE DIMER DILINOLEATE'],
1599,Linoleamidopropyl Ethyldimonium Ethosulfate,,,,,,,,
1600,Linoleamidopropyl Pg-Dimonium Chloride Phosphate,,,,,,,,
1601,Linoleic Acid,,,280.45,0.9118 g/cm3,C18H32O2,,"['9,12-Octadecadienoic acid (van)', 'delta9,12-Octadecadienoic acid']",
1602,Linolenic Acid,,INSOLUBLE,278.434,0.924g/cm3,C18H30O2,,"['Linolenic acid', 'a-linolenic acid', 'alpha-Linolenic acid', '9,12,15-all-cis-Octadecatrienoic acid', ' (Z,Z,Z)-9,12,15-Octadecatrienoic acid', 'all cis-Delta-9,12,15-octadecatrienoate', '(9Z,12Z,15Z)-octadeca-9,12,15-trienoic acid']",
